chapter,paragraph,sentence,text
CHAPTER II,1,1,Mr. Bennet was among the earliest of those who waited on Mr. Bingley.
CHAPTER II,1,2,"He had always intended to visit him, though to the last always assuring his wife that he should not go; and till the evening after the visit was paid she had no knowledge of it."
CHAPTER II,1,3,It was then disclosed in the following manner.
CHAPTER II,1,4,"Observing his second daughter employed in trimming a hat, he suddenly addressed her with,--"
CHAPTER II,2,1,"“I hope Mr. Bingley will like it, Lizzy.”"
CHAPTER II,3,1,"“We are not in a way to know _what_ Mr. Bingley likes,” said her mother, resentfully, “since we are not to visit.”"
CHAPTER II,4,1,"“But you forget, mamma,” said Elizabeth, “that we shall meet him at the assemblies, and that Mrs. Long has promised to introduce him.”"
CHAPTER II,5,1,“I do not believe Mrs. Long will do any such thing.
CHAPTER II,5,2,She has two nieces of her own.
CHAPTER II,5,3,"She is a selfish, hypocritical woman, and I have no opinion of her.”"
CHAPTER II,6,1,"“No more have I,” said Mr. Bennet; “and I am glad to find that you do not depend on her serving you.”"
CHAPTER II,7,1,"Mrs. Bennet deigned not to make any reply; but, unable to contain herself, began scolding one of her daughters."
CHAPTER II,8,1,"“Don’t keep coughing so, Kitty, for heaven’s sake!"
CHAPTER II,8,2,Have a little compassion on my nerves.
CHAPTER II,8,3,You tear them to pieces.”
CHAPTER II,9,1,"“Kitty has no discretion in her coughs,” said her father; “she times them ill.”"
CHAPTER II,10,1,"“I do not cough for my own amusement,” replied Kitty, fretfully."
CHAPTER II,10,2,"“When is your next ball to be, Lizzy?”"
CHAPTER II,11,1,“To-morrow fortnight.”
CHAPTER II,12,1,"“Ay, so it is,” cried her mother, “and Mrs. Long does not come back till the day before; so, it will be impossible for her to introduce him, for she will not know him herself.”"
CHAPTER II,13,1,"“Then, my dear, you may have the advantage of your friend, and introduce Mr. Bingley to _her_.”"
CHAPTER II,14,1,"“Impossible, Mr. Bennet, impossible, when I am not acquainted with him myself; how can you be so teasing?”"
CHAPTER II,15,1,“I honour your circumspection.
CHAPTER II,15,2,A fortnight’s acquaintance is certainly very little.
CHAPTER II,15,3,One cannot know what a man really is by the end of a fortnight.
CHAPTER II,15,4,"But if _we_ do not venture, somebody else will; and after all, Mrs. Long and her nieces must stand their chance; and, therefore, as she will think it an act of kindness, if you decline the office, I will take it on myself.”"
CHAPTER II,16,1,The girls stared at their father.
CHAPTER II,16,2,"Mrs. Bennet said only, “Nonsense, nonsense!”"
CHAPTER II,17,1,“What can be the meaning of that emphatic exclamation?” cried he.
CHAPTER II,17,2,"“Do you consider the forms of introduction, and the stress that is laid on them, as nonsense?"
CHAPTER II,17,3,I cannot quite agree with you _there_.
CHAPTER II,17,4,"What say you, Mary?"
CHAPTER II,17,5,"For you are a young lady of deep reflection, I know, and read great books, and make extracts.”"
CHAPTER II,18,1,"Mary wished to say something very sensible, but knew not how."
CHAPTER II,19,1,"“While Mary is adjusting her ideas,” he continued, “let us return to Mr. Bingley.”"
CHAPTER II,20,1,"“I am sick of Mr. Bingley,” cried his wife."
CHAPTER II,21,1,“I am sorry to hear _that_; but why did you not tell me so before?
CHAPTER II,21,2,"If I had known as much this morning, I certainly would not have called on him."
CHAPTER II,21,3,"It is very unlucky; but as I have actually paid the visit, we cannot escape the acquaintance now.”"
CHAPTER II,22,1,"The astonishment of the ladies was just what he wished--that of Mrs. Bennet perhaps surpassing the rest; though when the first tumult of joy was over, she began to declare that it was what she had expected all the while."
CHAPTER II,23,1,"“How good it was in you, my dear Mr. Bennet!"
CHAPTER II,23,2,But I knew I should persuade you at last.
CHAPTER II,23,3,I was sure you loved your girls too well to neglect such an acquaintance.
CHAPTER II,23,4,"Well, how pleased I am!"
CHAPTER II,23,5,"And it is such a good joke, too, that you should have gone this morning, and never said a word about it till now.”"
CHAPTER II,24,1,"“Now, Kitty, you may cough as much as you choose,” said Mr. Bennet; and, as he spoke, he left the room, fatigued with the raptures of his wife."
CHAPTER II,25,1,"“What an excellent father you have, girls,” said she, when the door was shut."
CHAPTER II,25,2,"“I do not know how you will ever make him amends for his kindness; or me either, for that matter."
CHAPTER II,25,3,"At our time of life, it is not so pleasant, I can tell you, to be making new acquaintances every day; but for your sakes we would do anything."
CHAPTER II,25,4,"Lydia, my love, though you _are_ the youngest, I dare say Mr. Bingley will dance with you at the next ball.”"
CHAPTER II,26,1,"“Oh,” said Lydia, stoutly, “I am not afraid; for though I _am_ the youngest, I’m the tallest.”"
CHAPTER II,27,1,"The rest of the evening was spent in conjecturing how soon he would return Mr. Bennet’s visit, and determining when they should ask him to dinner."
CHAPTER III,1,1,"Not all that Mrs. Bennet, however, with the assistance of her five daughters, could ask on the subject, was sufficient to draw from her husband any satisfactory description of Mr. Bingley."
CHAPTER III,1,2,"They attacked him in various ways, with barefaced questions, ingenious suppositions, and distant surmises; but he eluded the skill of them all; and they were at last obliged to accept the second-hand intelligence of their neighbour, Lady Lucas."
CHAPTER III,1,3,Her report was highly favourable.
CHAPTER III,1,4,Sir William had been delighted with him.
CHAPTER III,1,5,"He was quite young, wonderfully handsome, extremely agreeable, and, to crown the whole, he meant to be at the next assembly with a large party."
CHAPTER III,1,6,Nothing could be more delightful!
CHAPTER III,1,7,To be fond of dancing was a certain step towards falling in love; and very lively hopes of Mr. Bingley’s heart were entertained.
CHAPTER III,2,1,"“If I can but see one of my daughters happily settled at Netherfield,” said Mrs. Bennet to her husband, “and all the others equally well married, I shall have nothing to wish for.”"
CHAPTER III,3,1,"In a few days Mr. Bingley returned Mr. Bennet’s visit, and sat about ten minutes with him in his library."
CHAPTER III,3,2,"He had entertained hopes of being admitted to a sight of the young ladies, of whose beauty he had heard much; but he saw only the father."
